"First Name","Last Name","Date of Birth (Y-m-d)",State,Sex,"Height (cm)","Weight (KG)"
Madilyn,Reichel,1975-10-24,Washington,female,181,91
Larissa,Daniel,1993-04-15,Maryland,male,164,106
Alana,Predovic,1971-10-19,Massachusetts,male,186,57
Catherine,Rohan,1973-11-26,Pennsylvania,female,178,139
Adrienne,Ruecker,1979-01-08,Oklahoma,male,159,60
Modesta,Hauck,1984-01-23,Pennsylvania,female,166,143
Emilie,VonRueden,1979-01-06,SouthDakota,male,177,82
Eldora,Deckow,1993-07-25,Virginia,male,185,140
Rosie,Rohan,1989-05-20,Louisiana,female,197,109
Jarvis,Wiegand,1965-03-26,Maryland,female,187,54
Ashlynn,Jacobson,1973-11-02,Maine,male,182,122
Sydnee,Bashirian,1976-11-21,Missouri,female,169,153
Myrtis,Franecki,1975-07-27,Oklahoma,female,193,121
Davonte,Legros,1984-07-09,Kentucky,female,162,72
Domenico,Gulgowski,1984-07-31,Wisconsin,female,156,93
Rozella,Williamson,1975-09-01,Missouri,female,177,128
Trystan,Bruen,1991-08-12,Tennessee,female,175,77
Katelyn,Lang,1983-01-16,NewHampshire,female,183,154
Nannie,Grimes,1970-12-13,Alabama,male,153,147
Lorenza,Kshlerin,1979-03-13,Kentucky,male,179,119
Kathlyn,Adams,1987-03-21,Maryland,female,176,79
Dee,Willms,1983-12-13,Massachusetts,female,193,123
Eileen,Mitchell,1968-02-18,Nevada,female,185,107
Drake,O'Connell,1987-07-26,Pennsylvania,female,179,135
Justen,Nolan,1982-02-12,Delaware,male,165,149
Isidro,Reynolds,1968-06-03,Arkansas,female,155,98
Lenora,Hamill,1991-12-19,SouthDakota,male,187,153
Bettie,Roob,1973-07-14,NewHampshire,male,184,116
Evan,Torphy,1990-05-21,Utah,female,172,124
Ashleigh,Hermiston,1989-01-02,Kansas,female,187,77
Ahmed,Purdy,1968-09-25,NorthCarolina,female,152,135
Kaitlyn,Sanford,1990-02-16,Oklahoma,male,151,118
Dell,Lueilwitz,1989-12-07,Oregon,female,198,84
Valentin,Doyle,1987-11-17,NewYork,female,175,149
Oscar,Schimmel,1968-07-02,Oregon,female,163,71
Kennedy,Langworth,1978-05-26,Arkansas,male,171,82
Esteban,Heaney,1974-03-22,Kansas,male,164,54
Angeline,Carroll,1972-08-24,RhodeIsland,female,169,129
Joanny,Haley,1983-01-23,Montana,male,171,67
Mack,Jones,1965-02-15,SouthDakota,female,168,148
Lonny,Kutch,1990-04-13,Kentucky,male,196,155
Grant,Howell,1965-12-19,Texas,female,187,158
Eloise,Paucek,1970-07-01,Oklahoma,male,160,153
Johanna,Langosh,1991-07-11,Massachusetts,male,160,98
Dolores,Hoeger,1990-11-17,Louisiana,male,199,127
Rozella,Davis,1980-12-01,Michigan,female,182,62
Efren,Kirlin,1985-06-30,Alaska,female,187,93
Aurelio,Goodwin,1965-12-30,NewYork,male,189,135
Thalia,Lakin,1974-07-16,Connecticut,female,170,72
Lincoln,Bayer,1993-11-22,Virginia,male,185,112
Maya,Gusikowski,1985-09-08,Hawaii,male,162,101
Carmella,Franecki,1977-08-31,Massachusetts,male,178,71
Roy,Oberbrunner,1982-07-17,Idaho,male,175,93
Clyde,Sauer,1964-11-18,NewHampshire,female,188,115
Molly,Quitzon,1975-09-23,Pennsylvania,male,195,112
Noemie,Mayer,1979-01-19,Nebraska,female,162,71
Shemar,Hickle,1983-11-08,Arizona,female,194,152
Ross,Smitham,1988-11-29,Montana,female,177,127
Bernhard,Schneider,1986-08-14,Massachusetts,female,197,60
Ruthie,Heller,1988-11-06,RhodeIsland,male,174,137
Genoveva,Kirlin,1969-03-26,Arizona,female,196,54
Favian,Bailey,1989-10-07,Alaska,male,165,116
Shawn,Pagac,1976-09-11,Nevada,female,184,61
Sylvester,Cassin,1964-04-07,Montana,male,199,145
Leonora,Hand,1989-02-23,Tennessee,female,185,134
Susan,Wilderman,1983-05-30,Mississippi,female,156,160
Adolf,Schultz,1969-01-03,Washington,female,184,145
Noel,Cartwright,1964-04-05,Tennessee,male,180,94
Leonel,Smitham,1992-01-10,Connecticut,female,165,86
Lia,Robel,1968-05-14,Arizona,male,160,139
Shanie,Lockman,1981-04-15,Kansas,male,184,129
Kody,McLaughlin,1992-05-06,Connecticut,male,181,52
Dakota,Batz,1981-12-18,Minnesota,male,187,126
Elton,Collier,1984-12-07,NewHampshire,female,163,123
Jimmy,Larkin,1968-03-28,Wisconsin,female,169,90
Ettie,Hermiston,1985-04-24,Kansas,female,153,104
Felipe,Blanda,1975-02-07,Alaska,female,197,67
Maude,Gislason,1979-05-30,Washington,male,187,134
Steve,Pacocha,1965-11-16,Iowa,male,161,56
Gene,Ward,1972-08-06,Montana,male,191,79
Connor,Stamm,1978-12-23,Alaska,female,159,154
Elouise,Becker,1971-01-28,Missouri,female,181,111
Cecelia,Legros,1976-01-29,Tennessee,female,182,82
Isabella,Herman,1982-09-07,SouthDakota,male,188,111
Dino,Jacobi,1969-05-29,Massachusetts,female,188,153
Karelle,Marvin,1979-06-08,Nevada,male,175,159
Ted,Gusikowski,1988-11-06,NewYork,male,162,152
Christelle,Corkery,1964-07-14,Alabama,male,193,122
Bernard,Klein,1982-08-15,NorthCarolina,male,193,148
Vaughn,Hyatt,1967-10-23,Illinois,male,160,127
Cole,Hoppe,1969-08-01,Wyoming,male,167,149
Lucie,Koelpin,1986-02-16,Wyoming,female,159,106
Rodrick,Rosenbaum,1974-06-19,Maine,male,153,65
Francesco,Crona,1993-09-25,SouthCarolina,female,183,149
Wyman,Nikolaus,1967-04-18,Maryland,female,194,121
Kolby,Kling,1985-12-13,Connecticut,female,174,65
Verona,Pacocha,1972-11-07,Tennessee,female,178,92
Shanelle,McLaughlin,1992-06-13,SouthCarolina,male,191,75
Eldora,Baumbach,1989-07-24,NorthDakota,male,191,59
Oswald,Lynch,1966-07-27,NewYork,female,194,81
Edyth,Quitzon,1968-05-21,RhodeIsland,female,160,119
Brennon,Hegmann,1967-05-27,Iowa,male,175,141
Kelvin,Emard,1984-12-30,Wisconsin,male,166,149
Cruz,Christiansen,1978-01-04,Tennessee,male,172,110
Reyna,Weissnat,1972-03-21,Pennsylvania,female,155,97
Kristy,Schroeder,1979-04-14,Washington,female,186,150
Kailey,Boehm,1974-11-07,SouthDakota,male,165,101
Flavie,Olson,1971-06-01,Wyoming,female,191,80
Zola,Mante,1984-12-06,Idaho,female,200,60
Monique,Wolff,1992-01-22,Kentucky,female,152,158
Dasia,Breitenberg,1971-09-17,Minnesota,female,190,71
Jaden,Ondricka,1991-03-26,Arizona,male,172,125
Tessie,Rippin,1970-07-04,Nebraska,male,180,50
Dolores,Altenwerth,1983-11-26,RhodeIsland,female,195,98
Colt,Gulgowski,1974-01-19,Idaho,male,153,110
Fernando,Murazik,1984-11-06,Maryland,male,196,78
Zelma,Orn,1975-04-24,Tennessee,female,194,111
Quentin,Beahan,1977-04-29,Louisiana,female,161,91
Carson,Weissnat,1981-10-23,Utah,male,190,89
Audie,Renner,1977-05-06,NewHampshire,female,173,93
Reuben,White,1991-03-08,SouthDakota,male,171,70
Lia,Mills,1977-01-11,Minnesota,female,150,120
Sage,Pagac,1983-03-01,Alaska,female,170,75
Kaela,Robel,1972-11-21,Oregon,male,185,63
Chelsey,Hahn,1975-05-10,Oregon,female,177,71
Osborne,Spinka,1969-04-03,Delaware,male,190,60
Itzel,Huels,1985-03-22,Kentucky,female,199,157
Hertha,Volkman,1991-10-03,Arizona,male,180,71
Glenda,Hayes,1990-05-22,Maryland,male,176,160
Greyson,Muller,1968-03-17,Ohio,female,176,101
Aleen,Koelpin,1967-05-28,Montana,female,176,148
Berry,Fay,1982-09-26,Minnesota,female,184,148
Katarina,Tillman,1969-01-03,NewJersey,female,177,81
Janet,Fadel,1972-10-01,Michigan,female,169,159
Caroline,Hilpert,1969-01-18,Vermont,male,184,108
Rosalind,Paucek,1991-08-04,Missouri,male,176,86
Pearl,O'Hara,1977-09-19,Kentucky,male,182,83
Marianne,Feest,1989-12-08,Massachusetts,male,164,150
Ward,Mraz,1993-08-09,Alabama,male,165,97
Bobby,Reynolds,1983-07-04,NewJersey,female,185,156
Caden,Lind,1993-01-16,Nebraska,female,173,101
Milford,Nitzsche,1973-01-01,Oregon,female,172,66
Sean,Murazik,1974-09-29,Nevada,female,151,125
Aubree,Stiedemann,1979-02-13,Mississippi,female,193,57
Brice,Wolff,1973-03-04,RhodeIsland,male,190,133
Norbert,Reichel,1968-08-27,Michigan,female,197,81
Cydney,Fahey,1975-04-11,Georgia,male,158,150
Hettie,King,1985-02-27,Missouri,female,168,71
Domenic,Langworth,1986-02-19,NewMexico,male,189,106
Keira,Lueilwitz,1992-01-07,Wisconsin,male,158,72
Jon,Kreiger,1980-12-20,Alaska,female,151,124
Chance,Hansen,1973-10-07,Montana,female,188,61
Orlo,Cruickshank,1985-01-28,Wisconsin,female,169,64
Garrison,Kunze,1966-10-26,Vermont,female,165,159
Adalberto,Goodwin,1988-11-22,Alaska,male,159,136
Gene,Funk,1992-12-21,NewHampshire,female,181,129
Audrey,Barton,1986-10-27,Utah,female,168,147
Keshaun,Predovic,1970-05-26,Illinois,female,171,77
Dagmar,Lebsack,1968-03-14,Oregon,male,168,52
Reid,Jacobi,1984-02-07,NewYork,female,187,70
Lonzo,Erdman,1968-12-19,Illinois,male,154,73
Emory,Boyle,1990-04-11,Nevada,male,194,157
Walker,Weissnat,1984-10-04,Colorado,male,191,88
Efren,Marks,1977-05-28,NewMexico,male,172,121
Brian,Blick,1984-12-14,NewYork,male,157,142
Willy,Schulist,1987-08-21,Virginia,female,179,100
Everett,Harris,1983-11-24,Alaska,female,165,140
Ada,Koss,1976-07-22,Wisconsin,male,197,75
Lurline,Gutmann,1988-11-11,Maryland,male,188,116
Loma,Casper,1982-05-11,Connecticut,male,154,87
Lurline,Fay,1985-02-11,Wyoming,male,181,96
Ilene,Doyle,1974-12-03,NorthCarolina,male,192,83
Candice,Padberg,1968-09-22,Alaska,female,156,63
Ariane,Reichert,1971-05-12,Louisiana,male,179,113
Clemmie,Ward,1977-10-11,NewMexico,male,150,128
Valentine,Schaden,1984-07-27,Wyoming,female,161,82
Trever,Hessel,1972-05-29,Florida,female,157,117
Felipe,Rohan,1990-08-15,WestVirginia,female,198,110
Tyrell,Prohaska,1967-07-07,Maryland,male,150,84
Lura,Beahan,1970-01-18,Vermont,female,155,94
Ross,Shanahan,1967-03-01,Ohio,male,169,53
Alexane,Fisher,1964-02-27,NewHampshire,male,193,145
Herminio,Collier,1976-11-10,Illinois,female,165,160
Colt,Breitenberg,1968-06-09,Oklahoma,male,155,113
Morgan,Zboncak,1974-12-04,Wisconsin,female,178,114
Margarita,Rippin,1988-02-06,Georgia,male,192,139
Rolando,Beatty,1991-11-24,NorthDakota,female,179,155
Antonina,Ebert,1989-05-01,Delaware,male,156,150
Broderick,Daugherty,1983-05-24,Georgia,female,196,152
Connor,Walker,1968-02-14,Georgia,female,164,53
Antoinette,Bogisich,1982-04-24,Kansas,male,150,95
Aron,Pfannerstill,1980-01-31,Utah,female,157,79
Brody,Homenick,1968-12-06,Florida,female,179,113
Catherine,Heaney,1991-09-07,SouthCarolina,male,156,125
Frederic,Waelchi,1973-09-09,Maryland,male,163,76
Kenyatta,Bailey,1989-09-10,NorthDakota,female,155,58
Peggie,Hackett,1976-04-20,Oregon,female,161,121
Amelie,Wiegand,1988-04-24,Massachusetts,female,199,135
Gabriella,Yost,1989-04-16,Mississippi,female,162,124
Baylee,Mertz,1982-06-14,Hawaii,female,192,156
Ahmed,O'Keefe,1989-12-08,Ohio,male,192,156
Reese,Reynolds,1969-10-24,Wisconsin,male,193,61
Matt,Nienow,1966-09-29,WestVirginia,female,187,126
Murl,McLaughlin,1972-02-02,Virginia,female,181,141
Kristina,Schneider,1971-06-07,Iowa,female,153,59
Casimer,Stoltenberg,1991-08-30,NewMexico,female,154,70
Damion,Lockman,1981-08-11,Iowa,female,197,96
Lorenz,Rippin,1975-03-13,Alaska,male,186,92
Alexandre,Weimann,1972-10-16,NewMexico,female,171,120
Jayme,Hoppe,1965-06-16,Colorado,female,151,102
Bradford,Osinski,1964-11-08,RhodeIsland,female,185,83
Skye,Dooley,1993-01-01,NewHampshire,female,187,66
Kiley,Lebsack,1969-12-31,Texas,female,153,148
Bethany,Rogahn,1979-12-08,Mississippi,male,198,105
Alvena,Murray,1992-07-05,Iowa,female,177,113
Tremayne,Turcotte,1967-12-18,California,female,167,124
Albina,O'Reilly,1985-01-09,NewYork,male,161,116
Hettie,McKenzie,1965-08-06,Ohio,female,188,85
Jennie,Hane,1976-12-07,Illinois,male,152,130
Ruthe,Oberbrunner,1993-03-08,Illinois,female,151,134
Melvina,Grimes,1980-02-28,NewYork,female,198,99
Zachary,Berge,1977-11-23,Delaware,male,192,71
Liliane,Bechtelar,1991-11-24,SouthDakota,male,191,78
Raphaelle,Leffler,1973-03-06,Michigan,female,175,74
Arvel,Barton,1991-06-14,Maine,male,200,133
Cristopher,Champlin,1982-05-23,NewJersey,female,179,61
Prudence,Osinski,1966-03-05,Nebraska,male,168,87
Adelle,McGlynn,1975-05-09,Kentucky,female,177,60
Ephraim,Murazik,1965-05-21,Alabama,male,156,66
Randy,Beahan,1983-06-18,Iowa,male,166,69
Mckenzie,O'Reilly,1979-01-24,Iowa,female,200,63
Arielle,Jenkins,1966-12-20,RhodeIsland,female,199,155
Shaina,Schimmel,1993-09-29,Kansas,male,154,135
Amy,Terry,1964-09-25,Arkansas,male,155,80
Annabel,Jaskolski,1965-11-01,Massachusetts,male,182,79
Karley,O'Connell,1964-10-19,Ohio,male,186,144
Kaylie,Boyle,1966-08-03,Delaware,male,174,73
Rebekah,Marquardt,1993-08-23,Iowa,female,192,133
Rae,Hoppe,1988-07-21,Florida,female,175,146
Brittany,Gerlach,1967-03-27,Minnesota,female,195,71
Francisco,Witting,1976-04-17,Maryland,male,153,71
Cathy,Rogahn,1989-06-11,Oklahoma,female,184,67
Earlene,Ryan,1964-03-04,Utah,female,173,78
Elfrieda,Rohan,1991-04-30,Florida,male,176,90
Cody,Hilll,1966-09-22,Iowa,male,190,160
Elizabeth,McDermott,1973-01-21,Delaware,male,192,129
Gerson,Jast,1986-07-05,Iowa,male,199,71
Maymie,Hermann,1974-01-18,Michigan,male,172,52
Stephen,Parker,1988-12-22,Connecticut,female,150,108
Kyleigh,Yost,1971-09-01,Nebraska,male,186,97
Monty,Strosin,1970-09-22,NorthDakota,male,181,103
Lois,Ankunding,1967-09-18,Ohio,female,181,66
Mckenzie,Schaefer,1977-05-08,Arizona,female,179,118
Elnora,Bogan,1966-02-05,RhodeIsland,male,166,65
Jessica,Gusikowski,1969-04-28,NewMexico,male,166,154
Enos,Satterfield,1977-11-20,Maryland,female,180,135
Reinhold,Luettgen,1966-03-15,Louisiana,male,186,132
Edmond,Gerhold,1965-09-07,NorthDakota,male,152,69
Lindsay,Ernser,1971-04-15,Texas,female,157,69
Ellen,Luettgen,1971-09-30,Texas,male,155,149
Monica,Spencer,1979-03-26,Washington,male,164,106
Ashton,Sipes,1985-12-30,Illinois,female,182,64
Emelie,Harber,1976-01-04,Texas,male,157,129
Nathanial,Veum,1993-12-12,Alaska,male,196,53
Reginald,Goldner,1981-01-28,SouthDakota,male,152,89
Bailey,Monahan,1974-10-30,Oregon,male,159,155
Brielle,Harris,1974-06-01,Michigan,female,151,124
Landen,O'Conner,1978-12-21,Nevada,male,153,130
Euna,Connelly,1991-05-23,Georgia,male,156,147
Herbert,Langosh,1975-12-11,California,male,186,160
Boyd,Daugherty,1974-07-01,SouthCarolina,female,186,80
Oral,Hane,1967-12-15,Pennsylvania,female,160,150
Rachelle,Purdy,1971-08-12,Colorado,male,193,55
Columbus,Lueilwitz,1965-11-28,Montana,male,155,157
Alexandra,Graham,1978-03-08,Louisiana,female,175,52
Hunter,Schultz,1987-07-09,NorthCarolina,female,193,72
Jeanie,Leffler,1987-12-18,Vermont,male,199,75
Eino,Schroeder,1970-09-23,NorthDakota,male,191,83
Lera,Hermann,1983-05-04,Colorado,male,193,97
Gillian,Effertz,1975-11-17,Michigan,male,152,64
Helen,Balistreri,1983-08-29,Minnesota,male,157,144
Sylvester,Leffler,1981-05-15,Nevada,male,188,57
Jay,Welch,1987-08-12,NewHampshire,male,175,151
Tillman,Quigley,1976-01-12,NorthCarolina,male,199,52
Keith,Bauch,1981-08-21,Alaska,male,173,109
Effie,Mann,1967-11-06,Mississippi,male,165,92
Santino,Bernhard,1980-09-07,Utah,female,154,88
Omari,Walker,1979-10-04,Florida,male,178,68
Mohammad,Herman,1987-01-06,Massachusetts,male,188,51
Annabell,Boehm,1992-03-07,SouthDakota,female,191,56
Mandy,Hane,1979-12-12,Florida,male,194,73
Erna,Bayer,1968-02-03,Tennessee,male,160,158
Percival,Frami,1978-06-19,Tennessee,male,172,102
Marquise,Flatley,1982-09-03,Nebraska,male,188,98
Rickie,Sawayn,1992-01-04,NorthDakota,female,150,149
Orion,Torp,1972-12-28,Georgia,male,165,71
Tavares,Bins,1991-10-22,Colorado,female,190,82
Amanda,Schimmel,1989-02-18,Utah,female,176,144
Antwan,Nikolaus,1965-01-27,Mississippi,female,177,116
Mekhi,Veum,1974-12-29,Missouri,female,200,95
Oren,Jaskolski,1986-08-27,Wyoming,male,178,81
Thad,Connelly,1981-02-14,Wyoming,male,200,105
Owen,Champlin,1975-02-10,Missouri,female,175,155
Claudine,Kutch,1967-06-29,Oklahoma,male,196,126
Francisco,Schmidt,1965-01-11,NewYork,female,167,128
Patsy,Auer,1964-07-17,Ohio,male,165,50
Mario,Ward,1966-02-22,Vermont,male,183,138
Hermina,Jones,1972-04-17,Kentucky,male,168,84
Ebba,West,1977-01-28,Arizona,female,161,143
Kendall,Paucek,1966-09-15,Illinois,male,154,141
Adelbert,Von,1964-09-25,Delaware,female,151,93
Clair,Rice,1970-02-01,Minnesota,male,158,92
Isom,Russel,1982-02-13,Utah,male,164,147
Arielle,Kutch,1990-10-03,Mississippi,female,194,136
Guadalupe,Schinner,1971-08-03,Alaska,male,196,63
Wallace,Conn,1983-03-19,WestVirginia,male,192,98
Emmitt,Mohr,1993-07-12,Montana,male,198,60
Lauretta,Mayert,1992-02-03,Utah,female,168,100
Deshaun,Anderson,1977-03-02,Louisiana,male,182,125
Bobbie,Wolf,1981-12-26,Maine,male,175,135
Sydnie,Boehm,1983-12-27,Iowa,female,189,138
Gabriel,Crona,1992-09-22,NewMexico,female,167,156
Viva,Hilll,1971-11-18,RhodeIsland,female,170,77
Ruthie,Klocko,1975-07-08,Kentucky,female,171,63
Joy,Rippin,1983-08-05,Oklahoma,female,156,53
Sydni,Kuhlman,1971-11-01,Wyoming,male,176,146
Arlene,Hane,1973-05-19,NewJersey,male,197,141
William,Corkery,1971-07-07,Maine,female,156,71
